Year;Quartal;Region;Mau (in %)
2020;1;RoW;17
2021;1;RoW;20
2022;1;RoW;23
2023;1;RoW;28
2024;1;RoW;32
2020;1;Latin America;22
2021;1;Latin America;22
2022;1;Latin America;22
2023;1;Latin America;21
2024;1;Latin America;22
2020;1;North America;26
2021;1;North America;24
2022;1;North America;23
2023;1;North America;20
2024;1;North America;18
2020;1;Europe;35
2021;1;Europe;34
2022;1;Europe;33
2023;1;Europe;30
2024;1;Europe;28
2020;2;RoW;18
2021;2;RoW;20
2022;2;RoW;24
2023;2;RoW;30
2024;2;RoW;33
2020;2;Latin America;22
2021;2;Latin America;22
2022;2;Latin America;22
2023;2;Latin America;21
2024;2;Latin America;22
2020;2;North America;26
2021;2;North America;24
2022;2;North America;22
2023;2;North America;20
2024;2;North America;18
2020;2;Europe;34
2021;2;Europe;34
2022;2;Europe;32
2023;2;Europe;29
2024;2;Europe;28
2020;3;RoW;19
2021;3;RoW;21
2022;3;RoW;26
2023;3;RoW;31
2024;3;RoW;33
2020;3;Latin America;22
2021;3;Latin America;22
2022;3;Latin America;21
2023;3;Latin America;21
2024;3;Latin America;22
2020;3;North America;25
2021;3;North America;24
2022;3;North America;22
2023;3;North America;19
2024;3;North America;18
2020;3;Europe;34
2021;3;Europe;34
2022;3;Europe;31
2023;3;Europe;28
2024;3;Europe;27
2020;4;RoW;19
2021;4;RoW;22
2022;4;RoW;28
2023;4;RoW;32
2024;4;RoW;34
2020;4;Latin America;22
2021;4;Latin America;21
2022;4;Latin America;21
2023;4;Latin America;22
2024;4;Latin America;22
2020;4;North America;24
2021;4;North America;23
2022;4;North America;21
2023;4;North America;19
2024;4;North America;17
2020;4;Europe;35
2021;4;Europe;33
2022;4;Europe;30
2023;4;Europe;28
2024;4;Europe;27
2019;1;RoW;13
2019;2;RoW;15
2019;3;RoW;16
2019;4;RoW;16
2019;1;Latin America;22
2019;2;Latin America;21
2019;3;Latin America;22
2019;4;Latin America;22
2019;1;North America;29
2019;2;North America;28
2019;3;North America;27
2019;4;North America;27
2019;1;Europe;36
2019;2;Europe;36
2019;3;Europe;35
2019;4;Europe;35
2018;1;RoW;11
2018;2;RoW;11
2018;3;RoW;11
2018;4;RoW;12
2018;1;Latin America;21
2018;2;Latin America;21
2018;3;Latin America;22
2018;4;Latin America;22
2018;1;North America;32
2018;2;North America;31
2018;3;North America;31
2018;4;North America;30
2018;1;Europe;36
2018;2;Europe;37
2018;3;Europe;36
2018;4;Europe;36